ID,Proposal title,Tags,Abstract,Speaker names,Level,Date,Start Time,Duration,Room
7MATXR,"Mastering Advanced Koin Development: Lifecycles, Memory, Performance & Embedded Integrations","Jetpack / Architecture Components, Cross/Multi-Plattform Development, Best practices","Take your Koin skills to the next level with an advanced, hands-on session exploring real-world use cases that go beyond the basics of dependency injection. Whether you’re building complex applications with tricky scoping requirements, developing reusable libraries and SDKs, or striving to maximize performance and minimize memory overhead, this talk has you covered.

Let’s dive deep into advanced Koin features, including the effective use of scopes for managing lifecycles and dependencies across diverse components. You'll also learn strategies for optimizing Koin configurations in library and SDK development, ensuring easy integration and high performance. Additionally, we’ll cover techniques for fine-tuning performance and memory usage, with a focus on best practices for reducing dependency resolution overhead. All of this while we look at how we can maximize your

Let’s go through code examples and optimization tips, to let you get the knowledge to build efficient, scalable, and maintainable applications using Koin.",Arnaud Giuliani,Intermediate,2025-11-19,11:30,00:45,Sala 7
8QPD7Y,"Kotlin Multiplatform on iOS ""Gotchas""","Cross/Multi-Plattform Development, Advanced Kotlin","Kotlin Multiplatform (KMP) has become a popular framework for sharing code across multiple platforms, particularly Android and iOS. However, there are some gotchas to look out for when migrating your Android app to iOS, making the developer experience suboptimal.

In this talk, we will go through topics like:
- Swift interop challenges
- Framework problems
- Accidental memory leaks
- Architectural traps

While these might sound super complicated to solve, there are best practices to mitigate their impact, if not solve them outright. By the end of this talk, the audience will have more confidence in discussing effective KMP code sharing with their iOS teammates.",Pamela Hill,Intermediate,2025-11-19,12:15,00:45,Sala 7
AN7VLC,"The Urban Mine - Smart Android Containers for Reuse, Recycling and Recovery","AI/ML, IoT, Case studies / research","'Urban mining' is the practice of reclaiming valuable resources from the waste stream of cities and organizations.

All over the world, organizations big and small struggle with surplus inventory, including office equipment, furniture, and electronics that inevitably end up as waste. Thanks to laws and enlightened self-interest, more and more organizations try to tackle this problem by adopting the 'Four Rs': Reduce, Reuse, Recycle, and Recover. Adopting the 'Four Rs' can be challenging for organizations due to the administrative costs and overhead involved.

My startup is currently developing a smart container system, equipped with embedded Android devices, as part of a platform that automates the surplus inventory lifecycle. These containers  track the contents added to them, and can adapt to different reuse, recycling, or recovery scenarios.

This talk will explore the technical challenges of building such an embedded system, including hardware selection, solar power integration, interfacing with sensors, edge-based machine learning, and cloud connectivity solutions.",Etienne Caron,Intermediate,2025-11-19,11:30,00:45,Sala 8
AP7Q7N,Runtime App Security Analyses and Manipulation with FRIDA,"Development, Security","In this session, we dive into FRIDA, a powerful dynamic instrumentation toolkit used for analyzing and manipulating mobile applications at runtime. In this presentation we demonstrate how FRIDA can be leveraged for blackbox security analysis and runtime manipulation to uncover vulnerabilities and understand app behavior.

Through live demos we’ll explore how FRIDA can be used to interact with an app’s internal functions without access to source code using an example application. We’ll also discuss countermeasures and techniques to protect your apps from these types of runtime manipulations.

This talk is ideal for mobile developers, reverse engineers, and security researchers looking to understand the practical application of dynamic analysis tools in the mobile ecosystem.","Benedikt Löbbecke, Julius Fischer",Intermediate,2025-11-19,14:00,00:45,Sala 8
BLHEFV,Building a Handwriting Recognition System for the New York Times Crosswords,"Jetpack / Architecture Components, Advanced Kotlin, AI/ML","This session explores the development of an experimental and potential future handwriting recognition feature for The New York Times Crossword app, on the New York Times Games Android App.

We'll discuss the transformation of crossword squares into interactive ""SketchBoxes"" that capture user input, the challenges of determining input completion timing, and the preprocessing steps like downscaling and binarizing user-drawn characters.

The talk will dive into the selection and training of a deep convolutional neural network (Deep-CNN) using augmented datasets to handle diverse handwriting styles, and the integration of the TensorFlow Lite model into the app for on-device inference.

Key Takeaways & Learning Points:

* Learn how to create responsive interfaces that accurately capture and process user handwriting.

* Understand strategies to determine when a user has completed writing a character, balancing responsiveness and accuracy.

* Explore methods for normalizing and preparing diverse handwriting inputs for machine learning models.
Training Deep-CNNs with augmented datasets

* Gain insights into enhancing model accuracy by expanding training data to include varied handwriting samples.
Integrating machine learning models on-device with TensorFlow Lite

* Discover best practices for deploying efficient ML models within mobile applications.

As a Senior Android Engineer on The New York Times Games team, I led the exploration of this handwriting recognition work during MakerWeek 2023. My work involved designing the SketchBox component, implementing input handling mechanisms, preprocessing data, training the Deep-CNN model, and integrating it into the app using TensorFlow Lite. I have about 11 years of experience in Android development.

Keywords: Handwriting recognition, machine learning, Android development, TensorFlow Lite, convolutional neural networks, on-device inference, data preprocessing, user input handling.

This session was accepted at and Presented at DroidCon NYC 2025:  https://nyc.droidcon.com/speakers/shafik-quoraishee

This work has been published in Nieman Lab:
https://www.niemanlab.org/2024/01/how-the-new-york-times-is-building-experimental-handwriting-recognition-for-its-crosswords-app/

And the New York Times:
https://open.nytimes.com/experimenting-with-handwriting-recognition-for-new-york-times-crossword-a78e08fec08f",Shafik Quoraishee,Intermediate,2025-11-19,16:00,00:45,Sala 8
EQRNMQ,Entrepreneurship for Engineers: How to Launch Your Own Company,"Development, Career / levelling up & skill focused talks, Case studies / research","You're a great engineer (or at least you think so), but where do you grow from here? Have you always wanted to create something of your own, but unsure what exactly or how to start? How do you find your blue ocean? What steps should you take first? Where do you find the time? Should you do everything solo or look for a co-founder? And if you're looking, who exactly should that be? Should you bootstrap everything yourself or seek investment?

When you're tackling something radically new, you want at least some kind of roadmap. In this talk, we'll work together to draw that map, dispel doubts and fears, and take the first step into a world full of new opportunities.",Evgenii Matsiuk,Introductory and overview,2025-11-19,16:45,00:45,Sala 7
GGWQDJ,AndroidXR: Adapt For the Future (and Present),"Development, What's new in Android","Android XR is no longer “coming”, it's here. With Android XR, developers can now build spatial apps using tools they already know like Compose and Unity.

This talk showcases how to extend existing apps into immersive XR experiences with minimal changes. We'll cover what's available today, how to get started, and key challenges like performance and hardware support.

Takeaways:

- XR features you can use now on Android
- How to adapt a 2D app to spatial UI
- Live demos with Android Studio
- Common pitfalls and how to avoid them",Eury Pérez Beltré,Intermediate,2025-11-19,16:45,00:45,Sala 8
GWXS9V,The Complete Android UI Testing Landscape: From Journey to Traditional Approaches,Best practices,"Don't know where to start with Android UI testing? The new AI-powered Journey tests offer a low-code entry point that gets you testing immediately.

In the first part of this talk, we'll explore how to create end-to-end UI tests quickly. We'll cover the fundamentals of effective UI testing and explore how to create effective natural language tests that help you catch bugs before your users do. This might be a perfect launchpad for a developer or team looking to establish a baseline of UI test without a steep learning curve.

However, a single tool rarely fits all needs. In the second half, we will transition from this starting point to a more technical deep-dive. We will put Journey tests head-to-head with another Android UI testing tools, like Espresso, UiAutomator and Compose UI Test framework. Through practical examples, we'll analyze critical aspects, like execution speed, test reliability, flakiness patterns, and long-term maintenance costs at scale.

By the end of this session, you will be able to start your testing journey and know exactly which path to take to improve your app's quality to a high level.",Alex Zhukovich,Intermediate,2025-11-19,14:45,00:45,Sala 8
HEYFZS,Beyond Basics: Fluid Image Transitions & Gesture Sync in Compose,Design UX/UI,"Learn how to elevate your Jetpack Compose animations by building a smooth, gesture-driven transition from a card to a full-screen modal. In this talk, we’ll explore advanced techniques for creating seamless screen transitions, focusing on how to move an image from a compact card layout to a fully expanded modal while maintaining a fluid and responsive user experience.

We’ll dive into the intricacies of layering views in Compose, ensuring the image and other UI elements transition smoothly between screens. You’ll see how to synchronize animations with user gestures, such as dragging the modal down to dismiss it, and how to handle edge cases for a natural feel.

This example goes beyond the basics, showcasing how to combine Compose’s animation API, Modifier.graphicsLayer, and pointer input.
By the end of this session, you’ll have a deep understanding of how to create advanced, gesture-aware animations in Jetpack Compose, along with practical code examples you can apply to your own projects.
Perfect for developers looking to push the boundaries of Compose animations and deliver standout user experiences.",Piotr Prus,Advanced,2025-11-19,16:00,00:45,Sala 7
LBAJZ9,Lessons learned after building apps with Kotlin Multiplatform,"Cross/Multi-Plattform Development, Advanced Kotlin","With Kotlin Multiplatform and Compose Multiplatform, you can share code and UI across multiple platforms, from Android and iOS to macOS, Windows, and Linux. But building apps on all these platforms brings unexpected challenges you don’t anticipate at the beginning.

In this talk, I’ll share what I’ve learned (often the hard way) while developing apps with Kotlin Multiplatform. You’ll hear why sharing less code can sometimes save more time, how dealing with the iOS Keychain from background services turned into a debugging odyssey, and why placing your database in the wrong Windows folder can lead to silent data loss during app updates. We’ll also cover sandboxing on macOS, the trade-offs between using interfaces and `expect/actual`, and the complexities of distributing apps across platforms.

Whether you’re just getting started with Kotlin Multiplatform or already deep into it, this talk might just save you from a few future debugging headaches.",Marco Gomiero,Intermediate,2025-11-20,11:30,00:45,Sala 7
