ID,Name,Biography,Picture,Proposal titles,Your company,Your job title,X (user URL),LinkedIn (user URL),Github (user URL)
3RY8PC,Arnaud Giuliani,"Arnaud has over 18 years of experience in software engineering, spanning roles in developing Java/JVM systems and leading Android application projects for startups. He has served as both a Senior Developer and Tech Lead, applying his expertise across various sectors.

Since 2016, he has been an active speaker on topics such as Kotlin, Android Architecture, and Koin, and in 2020, he was recognized as a Google Developer Expert for Kotlin.

In 2017, Arnaud initiated the development of Koin (https://insert-koin.io/), a lightweight dependency injection framework that has become well-known in the Kotlin ecosystem.

By late 2022, he co-founded Kotzilla (https://kotzilla.io/), a company focused on building developer tools and SaaS platforms for Kotlin and mobile developers.",https://papers.synesthesia.it/media/avatars/3RY8PC_DbCm6Wc.jpg,"Mobile Architecture Matters: Multiplatform Architecture, Best Practices, and Performances with Koin, Mastering Advanced Koin Development: Lifecycles, Memory, Performance & Embedded Integrations",Kotzilla,CEO Product/Tech,https://x.com/arnogiu/,https://www.linkedin.com/in/arnaud-giuliani-0b2b73b/,
3SQT3K,Maxim Malişciuc,"I am a Software Developer with over 10 years of experience, primarily as an Android Developer. Along the way, I've also worked with Flutter, Kotlin Multiplatform (KMP), and various other technologies—whatever gets the job done.

I'm a regular attendee of Droidcon Berlin 🤖 and passionate about sharing knowledge. I strive to make my talks engaging, insightful, and easy to digest, ensuring they provide real value without feeling overwhelming.

Beyond speaking, I’ve published several articles and developed three apps that are actively helping doctors every day.

I consider myself easygoing, but that doesn’t mean I lack expertise—I simply believe learning and sharing should be enjoyable.",https://papers.synesthesia.it/media/avatars/3SQT3K_RdWIUx9.jpg,"Navigating the Roadblocks to EAA Compliance, An Android Dev's Survival Guide to iOS",AUTHADA GmbH,Senior Android Developer,https://bsky.app/profile/this-username.bsky.social,https://www.linkedin.com/in/maxim-malisciuc/,
7WLUYP,Ben Kadel,"Developer, Presenter/Teacher, Open source advocate, Ultimate frisbee player & Board game hoarder.
I love the fact that I get to code for a living, but I am also incredibly passionate about sharing, collaborating and helping others on their dev journey!
I also have a growing YouTube channel (youtube.com/benkadel), where I try to make entertaining & educational content about programming, the tech industry and specific tutorials to breakdown complex topics.
I adore presenting, story-telling and just generally engaging with an audience. If I am able to make life, even just a little brighter for someone then I have succeeded!",https://papers.synesthesia.it/media/avatars/7WLUYP_J5NtSGu.jpg,Escape from Planet Regex - Kotlin to the Rescue,Unemployed,Android / Mobile Platform Engineer,https://x.com/Ben_Kadel,https://www.linkedin.com/in/benkadel,https://github.com/kardelio
7YTGAE,Marina Coelho,"Marina is a Developer Relations Engineer at Google, focused on building native Android apps. Her mission is to help developers excel in building and growing their apps using Firebase and Gemini. Before joining the Firebase team in 2022, Marina worked as a software engineer for 8 years, 5 of which were dedicated to Android app development. She loves all things Jetpack Compose, Firebase and AI!",https://papers.synesthesia.it/media/avatars/7YTGAE_DKfIzdq.JPG,"Hey, Gemini - help me cook a meal!",Google,Developer Relations Engineer,https://x.com/coelhoverse,https://www.linkedin.com/in/marina-coelho-24663514a/,https://github.com/marinacoelho
8EPUZ9,Luca Bettelli,"Luca has been an Android Engineer for over a decade, between Italy and Japan, always striving for clean, scalable, and maintainable Android apps. He's excited to share practical solutions with the Android community that helped shape his journey so far.",https://papers.synesthesia.it/media/avatars/8EPUZ9_n9cydpE.jpg,Beyond Hilt's Built-In Scopes: Scope shared dependencies to the current screen,Mercari,"Software Engineer, Android",https://x.com/Bxttx,https://www.linkedin.com/in/lucabettelli/,https://github.com/Bxttx
93KQSZ,Nikheel Vishwas Savant,"Nikheel V. Savant is a Senior Software Engineer at Meta, specializing in Android Bluetooth internals and embedded wireless systems for next-generation wearable devices. He brings over a decade of experience in connectivity engineering, including 10 years at Bosch where he worked on embedded systems for automotive and industrial applications. At Meta, he focuses on AOSP Bluetooth stack optimization, secure pairing flows, and scalable audio/video transport. His prior roles include working on Wi-Fi systems at Apple and vehicle connectivity at Tesla. Nikheel holds a Master’s in Embedded Systems from the University of Pennsylvania and a Bachelor’s in Electronics & Communication. He is an active contributor to research and development in wireless debugging and Android platform stability.",https://papers.synesthesia.it/media/avatars/93KQSZ_VsATh8e.jpg,"Demystifying Android Bluetooth: From APIs to HCI Logs, Scaling Bluetooth on Android: Building for Reliability Across Phones, Wearables, and Beyond, AI Meets Bluetooth: Automating Debugging for Android Connectivity Issues, Wearables and Wireless: Bluetooth Internals for the Brave",Meta,Senior Software Engineer,N/A,https://www.linkedin.com/in/nikheel-savant/,
9LEQHP,Evgenii Matsiuk,"Evgenii Matsiuk is a Staff Software Engineer at X (Twitter) based in London, with over 12 years of experience in mobile development. As an Android Google Developer Expert (GDE), he has spent 5+ years specializing in mobile testing tooling and is the creator of Kaspresso, a popular Android testing framework. Evgenii is also the founder of Marathon Labs, which operates Marathon Cloud—a revolutionary testing platform that runs any number of UI tests in under 15 minutes. The company serves 10+ enterprise clients, including S&P 500 companies, and has achieved this success entirely through bootstrapping without external investments.",https://papers.synesthesia.it/media/avatars/9LEQHP_OhKShQq.jpg,"Entrepreneurship for Engineers: How to Launch Your Own Company, Crack the Coding Interview: Android Developer 2026",X (Twitter),Staff Software Engineer,x.com/e_matsyuk,https://www.linkedin.com/in/eugenematsyuk/,https://github.com/matzuk
ALQNFR,Rosário P. Fernandes,"Rosário P. Fernandes is a DevRel Engineer on the Firebase team at Google, focused on helping developers integrate Firebase and Generative AI into their mobile apps. With a passion for developer communities, he can often be found hanging out with other Android, Firebase, or Flutter developers. In his free-time, he enjoys playing videogames, reading comic books and watching movies.",https://papers.synesthesia.it/media/avatars/ALQNFR_Lb952ij.png,Integrating the Agent Payments Protocol (AP2) in an Android app,Firebase,DevRel Engineer,thatfiredev,rosariopfernandes,thatfiredev
AWEMJS,Julius Fischer,"I am a self-employed Senior Software Engineer specializing in Android development, with over 10 years of experience building secure, scalable, and user-friendly mobile applications. As a Google-certified Android Developer and iSAQB-certified Professional Software Architect, I combine deep technical expertise with a strong focus on mobile security, privacy, and resilience.

Throughout my career, I have collaborated with leading companies such as Deutsche Bahn, BMW, Daimler, and Allianz, delivering innovative mobile solutions across diverse industries. My work emphasizes not only exceptional user experience but also robust security standards, ensuring applications are both engaging and trustworthy.

I thrive on close collaboration with clients and partners, translating complex requirements into reliable solutions that exceed expectations. My mission is to create impactful mobile experiences that empower users while safeguarding their data in an increasingly connected world.",https://papers.synesthesia.it/media/avatars/AWEMJS_uSgNhOX.jpg,Runtime App Security Analyses and Manipulation with FRIDA,IsarApps UG,Freelance Senior Software Developer & Security Engineer,https://x.com/JuliusFischer,https://www.linkedin.com/in/julius-fischer/,
CNBZF7,Sasa Sekulic,"Sasa Sekulic is the CTO and Co-founder of Develhope, an edtech company empowering students across Europe and Africa with practical software development skills. With almost three decades of experience in software development, Sasa has led technical teams across startups and enterprises, focusing on scalable architecture and impactful product delivery. He is passionate about building technology that drives social change through education.",https://papers.synesthesia.it/media/avatars/CNBZF7_4XtbES3.jpg,AI for Devs: friend or foe,Develhope,CTO,https://bsky.app/profile/sasasekulic.bsky.social,https://www.linkedin.com/in/sasasekulic/,
